# gamma0 gamma1 gamma2 gamma3 log_central_pressure1_cgs log_central_pressure2_cgs
6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
7.645546609058134768e-01 2.329222198070382277e-01 -2.904223371970053591e-02 3.284269809538882035e-04 1.340371796501231460e+35 6.569975342079563589e+34
9.186633608684984242e-01 1.669965715976603760e-01 -3.955347550721535071e-02 2.169855860046757817e-03 1.462792730582318408e+35 7.140319931579601201e+34
1.202410151020103735e+00 -1.094155955485209553e-01 2.032601945741430161e-02 -1.186302553995797777e-03 1.827472412248169930e+35 6.728161848513403079e+34
7.818681361364142601e-01 2.605726541984887401e-01 -4.835779408107962474e-02 2.392635056226570436e-03 1.414341386150910041e+35 6.416158076694390541e+34
5.441672449617118712e-01 3.622401476698327016e-01 -5.088876754259499119e-02 1.282680043601439968e-03 1.765686528509518390e+35 9.321338105906492335e+34
4.692782037931526040e-01 3.547089688494077797e-01 -4.370706450325639869e-02 1.039809141598668383e-03 2.604131304913436297e+35 1.114841007984404543e+35
8.412631158144199262e-01 2.748272572899598809e-01 -6.336632048430487774e-02 3.257363971271695982e-03 1.273757316386355086e+35 6.286011190416905653e+34
3.699805832003453254e-01 5.034066619424319988e-01 -8.829697596489004263e-02 4.324016610802450256e-03 2.393525102061473227e+35 1.211874921166763492e+35
6.490939479806504542e-01 2.536416904162679953e-01 -3.096370255360431090e-02 6.728599937381776188e-04 1.974552319254423421e+35 9.436623662723722499e+34
3.066240428169832444e-01 5.725404251913472908e-01 -9.415249031278905001e-02 3.781853240571991532e-03 1.747032098014428042e+35 1.130477379989729830e+35
7.600915968464613259e-01 3.829833450121655214e-01 -8.736539234565304790e-02 4.588092523351459603e-03 7.806829378021399796e+34 7.546155450762035615e+34
2.706201987846940660e-01 5.317236816184570669e-01 -8.398626389423362315e-02 3.824351103854956892e-03 2.063496710772483121e+35 1.678171757522131371e+35
5.508663245175821066e-01 2.827492092309754623e-01 -3.354162655069805460e-02 7.106476721177912336e-04 2.352231119442171494e+35 1.384515518735080137e+35
4.370430674384715442e-01 4.326259927477790201e-01 -6.561834869365815170e-02 2.657819493579679799e-03 1.541034604767072784e+35 1.272561433371326599e+35
5.708209011323834847e-01 4.534237574046250385e-01 -7.467154511426739305e-02 2.685904957928304197e-03 9.048017588169769265e+34 7.212259491544087257e+34
5.929626724874524912e-01 3.081118344209306525e-01 -4.505393120793230871e-02 1.676562742319917271e-03 1.717124475798102029e+35 1.136017915471719111e+35
2.069817794071090455e-01 5.374946688828726726e-01 -7.258763153183342420e-02 2.070464611406595216e-03 2.208089327274119905e+35 1.958918307162762330e+35
4.910192332186718578e-01 5.197099562138630668e-01 -8.295529598293614748e-02 3.166853309829683032e-03 9.845954161223847463e+34 6.269482984405715812e+34
9.607998643785694570e-01 1.029447623951271901e-01 -1.765693342326857609e-02 5.076051962225574653e-04 1.423476936277608412e+35 6.653578045373445680e+34
6.100573663583916950e-01 3.410842541403999451e-01 -6.018764663259473097e-02 2.974304608744779942e-03 1.404277048271120846e+35 1.129810240166990109e+35
5.237388962597737674e-01 4.863520871501744169e-01 -9.963780090275187185e-02 5.308382137840942164e-03 1.383532459748717840e+35 9.614507374262871371e+34
2.508853611418040419e-01 4.595356315346504350e-01 -5.382032401650192754e-02 1.207880039492164248e-03 2.936324210397969186e+35 1.812339156508164331e+35
2.667405610624862811e-01 4.552498979781857691e-01 -5.103839418939939282e-02 8.784370485446541151e-04 3.010979587679297934e+35 1.486800479801427823e+35
6.265753204670444498e-01 6.496310971526203515e-01 -1.647441757032993559e-01 9.096600030204149770e-03 6.576971720810876652e+34 6.402160036159524421e+34
2.433847965695833671e-01 9.343611939892918494e-01 -2.068827896122210630e-01 1.087373397471495112e-02 8.529065711865639741e+34 6.950033605388132231e+34
3.265624766923933553e-01 7.712478922077944388e-01 -1.648009060285120786e-01 8.572064936161008855e-03 9.975238490664390112e+34 8.029480275909367689e+34
3.241879249441276811e-01 6.512754267448500611e-01 -1.090989745544297396e-01 4.274806317419991251e-03 1.129428789061702336e+35 7.408685571120716501e+34
3.271323879949007418e-01 5.956105606386314921e-01 -1.036451317525161342e-01 4.608880550830159357e-03 1.449411868845227983e+35 1.027915494028638849e+35
3.928074420794792632e-01 8.253792579320424760e-01 -1.873569419004636749e-01 1.033518362642530178e-02 6.986907806802258721e+34 6.118283195957281646e+34
3.781721482483854091e-01 7.514810360015320434e-01 -1.676795355620100125e-01 9.122099655784482106e-03 1.128389635530756185e+35 6.852786155273834792e+34
2.473145558374103548e-01 8.391920082203582210e-01 -1.812198043604357767e-01 9.774035131586865030e-03 1.245265818317630454e+35 7.839124410932729933e+34
6.120774719235912986e-01 4.122781212118896144e-01 -6.836329983070085770e-02 2.807075321924809748e-03 9.964601445824863940e+34 6.708448145650293606e+34
4.341886385846299157e-01 3.417723573627725608e-01 -3.222803985832410623e-02 -1.367310831780550902e-04 1.879347202228787825e+35 1.626070468124114750e+35
6.367559909144292485e-01 3.262518196344130206e-01 -4.169072839396890939e-02 6.270777539871474297e-04 1.131595460202746196e+35 7.836780843761414409e+34
5.569206582371263314e-01 2.614684869386322275e-01 -2.096181474748158233e-02 -5.385664524329469892e-04 2.651577852615164467e+35 1.085410992894137598e+35
4.187784607023668504e-01 5.131241442671906627e-01 -9.001198977466746964e-02 3.955690192656237739e-03 1.435334624163331298e+35 1.098758029604632543e+35
2.732859722010580472e-01 5.170430476454324076e-01 -6.983844414269109457e-02 2.146364050293309445e-03 1.616191579001409916e+35 1.606972111198840796e+35
3.571601834536500819e-01 5.553911962465779562e-01 -1.023075395351541600e-01 4.897646140719246442e-03 1.892371625248921550e+35 1.209835594162448934e+35
8.312783115760867814e-01 1.336727074702123153e-01 -9.525944583456909254e-03 -6.266896619016087619e-04 1.340000237465786910e+35 9.309153402645512083e+34
4.840410565766699036e-01 4.398360239002873096e-01 -7.031705619725141243e-02 2.439161951117441336e-03 1.275157501614975162e+35 1.172484643885188146e+35
1.129783097833710226e+00 3.014787285673572667e-02 -3.794711797367275163e-03 -3.504275848662727604e-04 6.945125706265316055e+34 6.096928351457110207e+34
7.038915627572933653e-01 3.832438993069481326e-01 -7.292349473065003196e-02 3.134363539695243610e-03 7.694823256660584508e+34 7.588611314069024535e+34
2.044703071541117412e-01 7.253363266840464618e-01 -1.393517592088815982e-01 7.141576545273110692e-03 1.626240571785653821e+35 1.206648392071371773e+35
6.636305822209066507e-01 2.532942052799085908e-01 -3.305233736739803668e-02 6.966736675343385447e-04 1.719656329703168707e+35 1.046660834008670409e+35
6.163857727423728283e-01 4.442032531999328127e-01 -8.584585141179176815e-02 3.613001525898716301e-03 9.158055105433601400e+34 8.334563701395789463e+34
