# m1 m2 Lambda1 Lambda2 gamma0 gamma1 gamma2 gamma3 log_central_pressure1_cgs log_central_pressure2_cgs
1.476099356248381289e+00 1.387730795591513910e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.569407302361732981e+00 1.273887991850865653e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.435545709552124460e+00 1.365715744489267358e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.516522696200639508e+00 1.332192802116447083e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.360696757797158707e+00 1.305347487209118640e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.362025426139580331e+00 1.323624490169970080e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.192955092119275307e+00 1.158552207729638184e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.661987479606931384e+00 1.166861908946542847e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.456103606545589235e+00 1.067105957195759514e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.435832655870302954e+00 1.301491667429139687e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.516841237325032621e+00 1.323891704707392369e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.566511555385317944e+00 1.304889261132831768e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.473391507594561167e+00 1.391779298279820054e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.602329254639481393e+00 1.127382022213611501e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.868547736942395066e+00 1.747257167611944828e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.367638777085713242e+00 1.332970985376936479e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.457042304553110457e+00 1.175356358374968435e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.562978290830991268e+00 1.325507497238899601e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
1.458065697667069172e+00 1.282093679322552582e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35
