# lnL sigma_lnL gamma0 gamma1 gamma2 gamma3 log_central_pressure1_cgs log_central_pressure2_cgs m1 m2 sig
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.307048683347717510e+00 1.280876506323979314e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.449787506775065404e+00 1.335141893088779952e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.464837516219104518e+00 1.252837289657426689e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.281215936348232276e+00 1.182701722360823826e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.414483246677973316e+00 1.393316226010247405e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.270297180789606850e+00 1.244215042245374825e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.490733486239738337e+00 1.223588529061531371e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.560890108679011012e+00 1.533960824341550122e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.498941643533474810e+00 1.310707786461396518e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.349985433164073489e+00 1.286933003835349032e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.465797414912082708e+00 1.302095227290516188e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.401527910268332455e+00 1.347899288249956307e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.426267637758612317e+00 1.263718633550008130e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.393864706500230977e+00 1.356162375029701828e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.311946031837560867e+00 1.303147638882499626e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.458922136739914777e+00 1.355787825664433788e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.407024678412849061e+00 1.383001237385548920e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.439701645060604829e+00 1.341620499712848913e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.535111028023712798e+00 1.419498040378504466e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.561422599175539272e+00 1.403958870837206607e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.556360203227712402e+00 1.469195187204163755e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.481702713525177018e+00 1.312041471221882638e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.481302529103477372e+00 1.203947031155989000e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.426476497057779902e+00 1.364567978316127528e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.491135704995123712e+00 1.480369881768784257e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.548273827049164497e+00 1.295856338509487893e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.340701970830074252e+00 1.262246523035886803e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.348112585810293584e+00 1.308865258783301400e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.721315803157433377e+00 1.332607892174361375e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.462643132866549456e+00 1.326657769958747846e+00 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 6.768730840689067829e-01 1.849793950121006447e-01 -1.545969552248221621e-02 -9.786142132722361537e-05 2.759903289588603329e+35 1.068613518052392722e+35 1.417704898130365043e+00 1.301119122702985464e+00 1.000000000000000056e-01
